constant,value,units,tag,tier,form,block,band,errs,resolves_by,decided_by,precedent,supplied_by,default,superseded_by,note
INFRA_TREATMENT_HOURS_GOOD,8.0,labour-hours per asset unit per year,placeholder,,"task-normative — hours/unit/year = (12 / inspection_interval_months) × crew_hours_per_visit, currency-free by construction. This is the measured, auditable half of infrastructure EOH; discretionary maintenance ambition above it is a policy choice and enters the fiscal layer, never the floor.",EOH generation — infrastructure domain,,,"state DOT maintenance-activity manuals and inspection timesheets, which record the real per-condition crew-hours. This is the nearest-to-closed CHOSEN debt in the file: the instrument exists, is public, and the units match.",,,,,,the reason this stream exists — the monetized capital_stock_teh path is convention-dominated 10.26× while every physical knob on this path reads ×1.000 (scenarios/infrastructure_floor.doctrine_floor_invariance). The floor is ~5.9× better determined and its residual is timesheet-measurable.
INFRA_TREATMENT_HOURS_FAIR,20.0,labour-hours per asset unit per year,placeholder,,"task-normative — hours/unit/year = (12 / inspection_interval_months) × crew_hours_per_visit, currency-free by construction. This is the measured, auditable half of infrastructure EOH; discretionary maintenance ambition above it is a policy choice and enters the fiscal layer, never the floor.",EOH generation — infrastructure domain,,,"state DOT maintenance-activity manuals and inspection timesheets, which record the real per-condition crew-hours. This is the nearest-to-closed CHOSEN debt in the file: the instrument exists, is public, and the units match.",,,,,,the reason this stream exists — the monetized capital_stock_teh path is convention-dominated 10.26× while every physical knob on this path reads ×1.000 (scenarios/infrastructure_floor.doctrine_floor_invariance). The floor is ~5.9× better determined and its residual is timesheet-measurable.
INFRA_TREATMENT_HOURS_POOR,48.0,labour-hours per asset unit per year,placeholder,,"task-normative — hours/unit/year = (12 / inspection_interval_months) × crew_hours_per_visit, currency-free by construction. This is the measured, auditable half of infrastructure EOH; discretionary maintenance ambition above it is a policy choice and enters the fiscal layer, never the floor.",EOH generation — infrastructure domain,,,"state DOT maintenance-activity manuals and inspection timesheets, which record the real per-condition crew-hours. This is the nearest-to-closed CHOSEN debt in the file: the instrument exists, is public, and the units match.",,,,,,the reason this stream exists — the monetized capital_stock_teh path is convention-dominated 10.26× while every physical knob on this path reads ×1.000 (scenarios/infrastructure_floor.doctrine_floor_invariance). The floor is ~5.9× better determined and its residual is timesheet-measurable.
ECOLOGICAL_BASE_RATE,500000.0,hours/year at pristine ecosystem health (relative anchor),placeholder,,,EOH generation — ecological domain,,,"NOT a stewardship census — that instrument is spent, and the pointer this field used to carry (land_stewardship.census_report) was written 2026-08-16, the day BEFORE the partition that invalidated it. What settles it now is an author decision on Phase 4f. If the standing term is RETAINED instead, the instrument would have to be a census that separates the reference-condition obligation from the disturbance response — which the shipped census cannot do, because it counts workers and does not decompose what they are responding to.",,,,,,"THE DOMAIN-BALANCE DEFECT LIVES HERE. This is documented as a RELATIVE anchor — ""does not represent an absolute ecosystem-specific count"" — but it is SUMMED with absolute counts in total_eoh() and then divided into ε. At defaults it contributes 0.04% of total EOH (0.61 h/person·yr against personal's 1,301.6), so the ecological domain cannot move ε and the thermal obligation books at ~1.8 h/person·yr. Do not quote this domain's SHARE of total EOH until it is on an absolute footing. THE GAP IS NOW MEASURED, not just asserted (2026-08-15, scenarios/ecological_floor.py). Inverting the question — what stewardship intensity would a given EOH share require? — the anchor implies 0.37 labour-hours per hectare per year across ALL land, every biome and condition class including cropland. Reaching a 5% share of total EOH needs 48.9 h/ha·yr, a factor of 132x; a 1% share needs 9.4, a factor of 25x. So ""low by 2-3 orders"" is not merely plausible, it is what the arithmetic requires. This still does NOT settle the level — no stewardship-hours census exists in this repo, and choosing a value to produce a target share would be the fitted-residual error the personal floor refuses. It states what a census would have to find. Run `eoh scenario run ecological_floor`. THE LEVEL IS CLOSED, AND NOT BY A CENSUS (Phase 4f, 2026-08-28). The question ""what should this be?"" was posed as a MEASUREMENT question for months. It is not one. This constant produces `standing` — a RECURRING per-year term — and Phase 4d's adopted partition says everything recurring is GUF's. Checked rather than assumed: `scenarios/guf_magnitude.recurring_target_by_class` already charges the measured stewardship intensity of every class the census can price (forest 0.182, federal parks 0.161, urban 4.349 h/ha·yr) as part of GUF's recurring target. Raising this anchor toward the census would bill the SAME measured hours twice — once to the holder through GUF, once to the domain — which is the double-application failure the Ψ audit found, reached from the other side. And Phase 4c leaves no residue to keep: land held by no member is held by the FEDERATION and owes what any holder owes, with `uncollected_hours` structurally 0.0, so every hectare has a holder paying maintain-current. THE DERIVED VALUE IS THEREFORE 0.0, and the 500,000 here is a residue of the pre-partition model. This REVERSES the long-standing ""low by 2-3 orders"" framing: the anchor was never too low, it was the wrong kind of term. ADOPTED 2026-08-28 (author sign-off): `ecological_standing_response` defaults to ""guf"", so this constant no longer enters the ecological domain at all — it scales the DEGRADATION RESPONSE and nothing else, and at reference condition the domain is exactly zero. The pre-4f behaviour stays reachable under `standing_response=""domain""` and is what every figure before this date was computed at. Adoption moved total EOH by −0.00007% and re-anchored KNOWLEDGE_EOH_BASE by +0.00047%; nothing else in the suite moved, which is itself the measure of how little the domain was carrying. The constant is RETAINED rather than set to zero because it still scales the degradation response, which `health_response` governs and which is a SEPARATE, unadopted decision (Phase 4e)."
US_MAINLAND_HECTARES,765495267.0,hectares,measured,B,"USDA ERS Major Land Uses, ""48 States"" total land, 2022 vintage (released 2026-08-14): 1,891,580 thousand acres x 0.40468564224 ha/acre.",EOH generation — ecological domain,,,nothing — this is a published measurement. It moves only when ERS revises the series (5-year cycle).,,,,,,"THE REFERENCE FRAME FOR THE ECOLOGICAL DOMAIN. Stewardship demand is a property of AREA, so the domain needs an extensive quantity to be keyed to, and a test frame needs one that is measured rather than assumed. The contiguous 48 is chosen over the 915,052,512 ha US total because Alaska's 150 Mha is overwhelmingly unmanaged and would dilute every intensity by 16% for land no stewardship workforce reaches. Paired with US_POPULATION in reference/land_stewardship.py, it gives 2.285 ha/person against the shipped global LAND_HECTARES_PER_CAPITA of 1.65 — the US carries 38.5% MORE land per person than the planetary average, which is the direction that makes per-capita stewardship burden harder, not easier."
ECOLOGICAL_INTENSITY_BASE,0.000653171902629,labour-hours per hectare per year at pristine health,derived,,ECOLOGICAL_BASE_RATE / US_MAINLAND_HECTARES. Bound by TEST rather than expression because ECOLOGICAL_BASE_RATE is defined above and the pairing is what must not drift; same treatment as GUF_ECO_KAPPA_CARBON.,EOH generation — ecological domain,,,"SUPERSEDED BY PHASE 4f — see ECOLOGICAL_BASE_RATE above. This field used to name scenarios/land_stewardship.census_report(), and the census does read ~625x this value at the declared scope. That comparison is still TRUE and no longer RELEVANT: those hours are GUF's under the adopted partition, so matching them here would double-count. The derived value is 0.0 and what remains is a sign-off, not a measurement.",,,,,,"THIS IS THE DOMAIN-BALANCE DEFECT, QUANTIFIED. Before this constant existed, `ecological_eoh` took no area and no population — it returned base_rate/health and nothing scaled it, making ecological the ONLY domain with no extensive quantity behind it (personal scales with population, infrastructure with capital, knowledge with the corpus). Spread over the land it is nominally the obligation for, the shipped anchor is 6.5317e-4 h/ha/yr — **2.35 SECONDS per hectare per year**. Introducing it changes NO number: area x intensity reproduces ECOLOGICAL_BASE_RATE exactly at the reference frame, so this commit fixes the FORM and leaves the LEVEL for the census to move. Note this disagrees 464x with `scenarios/ecological_floor .implied_stewardship_intensity`, which reports 0.37 h/ha/yr — the SAME anchor over a different area (1e6 people x 1.65 ha). Both are correct and the disagreement IS the point: an anchor keyed to nothing implies whatever per-hectare figure the area you supply happens to produce."
AMENITY_STEWARDSHIP_WEIGHT,0.0468,dimensionless fraction of amenity labour,bounded,C,,EOH generation — ecological domain,"every admissible weight puts the census above the anchor, so the choice of w sets the magnitude and not the sign.","LOW. The lower bound is adopted, so the ecological obligation is understated. That is the conservative direction for the open question — a floor that errs low cannot manufacture the ""anchor is orders too low"" finding it is being used to test — but it is the UNSAFE direction for provisioning, since under-booking stewardship under-provisions it. Flagged rather than split, because splitting would put a fitted number where a composition-derived one now sits.",a task decomposition within SOC 37-3011 — what fraction of groundskeeping hours go to woody vegetation versus turf. Municipal urban- forestry program staffing against total grounds-maintenance staffing is the nearest public instrument; i-Tree Eco's urban-forestry surveys are the other.,,,,,,"AUTHOR DECISION 2026-08-16 (the amenity-scope sign-off). Urban groundskeeping counts as ecological EOH to the extent it maintains a structure delivering one of the seven GUF services — canopy in, turf out. The two corners are 0.0 and 1.0 and differ 50x in the census, so a weight had to be named. Note the anchor is crossed at w* = 0.0228, BELOW this"
AGENCY_STEWARDSHIP_ROLE_MIX,0.2263,dimensionless fraction of agency headcount,bounded,B,,EOH generation — ecological domain,"[0.2263, 0.4073] — NPS + FWS combined, from record-level OPM Federal Workforce Data (employment 2025-09 v3, 27,104 staff, 337 occupational series). LOWER bound counts only unambiguous resource-management series (0401 general natural resources, 0404 biological science technician, 0454 rangeland, 0460/0462 forestry, 0470 soil science, 0482 fish biology, 0485 refuge management, 0486 wildlife biology, 1315 hydrology and neighbours). UPPER adds the two genuinely split series: 0456 wildland fire management (fuels treatment and prescribed burning against emergency response) and 0025 park ranger (resource protection against interpretation).","LOW. The lower bound is adopted, matching AMENITY_STEWARDSHIP_WEIGHT's treatment of the same shape of ambiguity, so agency stewardship is understated. 0025 alone is 3,991 NPS staff who do some of both.",a task decomposition inside series 0025 and 0456 — the share of park-ranger and wildland-fire hours spent on resource condition rather than visitors and response. NPS budget justifications report FTE by activity (Resource Stewardship vs Visitor Services vs Facility Operations) and are the direct instrument; they would replace this band with a measured split.,,,,,,"THE TWO AGENCIES DISAGREE BY 5.3x AND THAT IS THE INTERESTING PART. NPS reads 10.12% (its largest series are park ranger 20.7% and maintenance mechanic 13.9%); FWS reads 53.64% (its largest is general natural resources at 27.8%). NPS is a visitor-services organisation standing on land; FWS refuges are a land-management organisation. A single federal ""agency stewardship"" rate would have concealed that, which is why the census splits them and this constant is only the combined summary. IT ALSO OVERTURNED A DIRECTIONAL CLAIM. Before the role mix was measured, the RAW agency intensity (0.709 h/ha/yr combined, 1.090 for NPS) suggested agency land was worked ~6x harder than forest and would RAISE the census. Role-mix-corrected it is 0.16-0.29 h/ha/yr, comparable to forest's 0.182 and BELOW the declared census mean of 0.585 — so pricing it LOWERS the mean and raises coverage. The raw figure was wrong by the size of the role mix, which is exactly why the class was not priced on it."
US_REFERENCE_POPULATION,335000000.0,persons,placeholder,C,"the population the frozen O*NET/BLS registry's employment is drawn against (reference epoch 2026-07-29 -> 2024 vintage weights), stated round.",EOH generation — ecological domain,,,"Census Bureau national population estimate for the reference epoch. The shipped figure is round to three significant figures and the estimate is not, so this closes on contact with the source.",,,,,,"MIGRATED FROM TWO PLACES AT ONCE (2026-08-16). The same value lived as `REFERENCE_POPULATION_US` in scenarios/knowledge_base.py and as `US_POPULATION` in reference/land_stewardship.py — one value, two names, two files, neither under the gate. That is the fifth instance of the pattern behind GUF_PSI_NORM, RECAL_FOUNDING_LABOR_HOURS, DEFAULT_SEGMENTS and the mean-multiplier literal: a copy of a value whose source is elsewhere. Both names now bind here. Its epistemic status is UNCHANGED by the move — it was debt before and it is debt now, only visible."
PRACTICE_EQUIPMENT_WIDTHS_FT,<dict: 7 keys>,feet,instance,,,EOH generation — ecological domain,,,,,,"the working width of the equipment YOUR collective actually operates. Field capacity is linear in width, so these values scale the reported stewardship hours one-for-one: halving a width doubles the hours.","mid-range North American row-crop equipment, so the shipped practice figures have a stated scale rather than none. NOT a measurement and not a published standard — the ASAE table supplies efficiency and speed because those are properties of the operation, and deliberately omits width because it is a machine-size CHOICE.",,"this is the input that makes hours-per-acre a DELIVERY PRODUCTIVITY rather than a physical constant, the same role the LSMS unassisted stratum plays in reference/personal_basket.py. It lived in reference/ until 2026-08-16, where the shadow-constant ratchet could not see it — utils.provenance.OPERATIVE_LAYERS omits that layer — which is why it moved rather than the layer boundary moving."
LAND_HECTARES_PER_CAPITA,1.65,hectares of land per person,instance,,,EOH generation — ecological domain,,,,,,"the land area your collective is responsible for stewarding, divided by its population. Intake path: the GUF parcel inventory (land/collective.py) already carries area per parcel, so a collective that has run its GUF assessment has this figure without new survey work.",global land area excluding Antarctica (~1.34e10 ha) over a world population of ~8.1e9. A planetary average is the WRONG number for any actual collective — stewardship land per person varies by more than an order of magnitude between a city and a rangeland — and it is here only so scenarios/ecological_floor.py can state the inversion at a stated scale.,,
WORLD_POPULATION,8100000000.0,persons,measured,A,"world population, UN World Population Prospects 2024 revision, mid-2025 estimate rounded to two significant figures at the scale it is used.",EOH generation — ecological domain,,,nothing — a published measurement. It moves when the UN revises (2-year cycle).,,,,,,"this number already governed a shipped constant while existing only as PROSE. LAND_HECTARES_PER_CAPITA = 1.65 is documented as ""~1.34e10 ha over a world population of ~8.1e9"", so the divisor was carried in a comment where nothing could read it, check it or age it. Naming it makes the global frame in JURISDICTION_FRAMES derivable instead of restated — the same move that bound US_POPULATION and REFERENCE_POPULATION_US to one source."
REFERENCE_FRAME_POPULATION,1000000.0,persons,convention,,"the population at which this package's extensive TEH constants are stated. CAPITAL_STOCK_DEFAULT and TRUST_BASE_TEH both say ""TEH (at the 1M reference population)"" in their own tag blocks; this names the population those sentences refer to.",EOH generation — ecological domain,,,,"a reference-frame declaration. Changing it changes what every extensive constant in the package MEANS, which is the convention test.",,,,,"A THIRD QUANTITY THAT MUST TRAVEL WITH THE FRAME, and the one that hides. Land and population are the visible pairing, but capital is stated per-frame too, so running the US population against an unscaled CAPITAL_STOCK_DEFAULT models 335M people holding the capital stock of 1M — 5.97 TEH/capita against 2,000. It was found by a frame-invariance test failing at 5.7% while the other two domains agreed exactly, not by reading the constant. What the frame holds fixed is capital INTENSITY, not the absolute stock."
FRAME_CONSISTENCY_TOLERANCE,0.1,fraction,normative,,"the band around a declared frame's hectares-per-capita within which a supplied (population, area) pairing is called consistent with it.",EOH generation — ecological domain,,,,"a reporting threshold, chosen. No dataset settles what counts as ""the same frame""; the same status as the dashboard health thresholds, and like them it governs a label rather than a quantity.",,,,,"deliberately WIDE. The question it answers is ""is this the same order of land per person"", not ""do these agree to the hectare"" — the mismatch it exists to catch is 335x. A tight tolerance would reclassify ordinary collectives as inconsistent and make the check noise."
JURISDICTION_FRAMES,<dict: 3 keys>,"dict of frame name -> {population: persons, land_hectares: ha}",convention,,"DECLARED PAIRINGS of a population with the land area it is responsible for. Every value is BOUND to the constant that already carries it — US_REFERENCE_POPULATION, US_MAINLAND_HECTARES, LAND_HECTARES_PER_CAPITA — rather than restated. A frame that restated 335,000,000 would be the sixth copy-of-a-value-whose-source-is-elsewhere, after GUF_PSI_NORM, RECAL_FOUNDING_LABOR_HOURS, DEFAULT_SEGMENTS, the mean_multiplier literal and US_POPULATION itself.",EOH generation — ecological domain,,,,"a reference-frame declaration, not a measurement — the pairing is a statement about WHAT IS BEING MODELLED. The same status as the eight CANONICAL_* constants: changing it changes what the numbers MEAN.",,,,,"THE FRAME MISMATCH THIS EXISTS TO MAKE VISIBLE. ECOLOGICAL_BASE_RATE is the obligation for the WHOLE contiguous US (765,495,267 ha), while the shipped default population across the package is 1,000,000. Nothing connects them, so the ecological domain is divided by a millionth of the population that lives on the land it is keyed to, and the reported ecological SHARE is frame-dependent by a factor of 335: 0.0448% at the shipped pairing against 0.000146% at the honest US one. The shipped default is the FLATTERING reading. `reference_1m` is the consistent million-person frame — the US land-per-person ratio, not the whole US. REPORTING ONLY at introduction: no generation function consumes this and no shipped number moves. Making the default frame consistent is a calibration change and needs sign-off, because it moves the ecological anchor 335x."
ECOLOGICAL_THRESHOLD,0.4,"ecosystem health index ∈ [0,1]",placeholder,,"physics — ecological regime shifts are established, so a threshold below which burden escalates nonlinearly is structural. Where 0.40 falls on THIS index is a mapping, not a measurement.",EOH generation — ecological domain,,,an ecological time series relating a defined health index to observed regime shift. GUF_EOH_ACCUMULATION_THRESHOLD makes the same class of claim on the deferral rate rather than the state; both resolve from one series.,,,,,,
ECOLOGICAL_SPIKE_INTENSITY,5.0,dimensionless multiplier on the base ecological rate,placeholder,,"the magnitude of the sub-threshold spike — spike = rate × INTENSITY × ((threshold − health) / threshold)² so it is the multiple of the baseline obligation incurred at TOTAL collapse (health = 0), and the quadratic makes the approach gradual. ECOLOGICAL_THRESHOLD sets WHERE the spike begins; this sets HOW BIG it gets.",EOH generation — ecological domain,,,"the same ecological time series ECOLOGICAL_THRESHOLD names, read for a different FIELD — not where the regime shift begins, but the ratio of restoration labour demanded after collapse to that demanded at the threshold. A threshold study that reports only the breakpoint settles the companion constant and NOT this one.",,,,,,"CALIBRATED TO A TARGET on the 2026-08-09 provenance pass's own reading — it was picked to produce the escalation the arc was expected to show, which is the DEFAULT_SEGMENTS / GUF_USE_* pattern. It also spent that whole period in core/eoh_generation.py rather than here, so the gate that names calibrated-to-target constants could not see it. Migrated 2026-08-28; a +7% move failed no test until the pins landed with it."
MONITORING_SPIKE_SOFTENING_MAX,0.2,fraction of the spike removable by monitoring,placeholder,,"automated monitoring softens the sub-threshold spike, capped at this fraction at ε=1. The CAP is the claim: monitoring makes an obligation VISIBLE sooner, it does not discharge it, so most of the spike survives however good the sensors get.",EOH generation — ecological domain,,,"paired remote-sensing and field-survey records over one degradation event. FIELD: restoration labour actually required where early detection occurred, against comparable sites without it.",,,,,,"migrated from core/eoh_dynamics.py 2026-08-28 as a shadow constant. Runs in the OPPOSITE direction to `monitoring_capability` in the ecological domain, where better monitoring RAISES measured obligation by revealing deferred work. Both can be true — one reveals, one mitigates — but they have never been reconciled in one place and a measured pass should do both at once."
PRE_THRESHOLD_COMPOUND_RATE,0.1,fraction of deferred EOH per period,placeholder,,"the ceiling the pre-threshold compounding curve approaches as t → T⁻, i.e. deferred maintenance accrues at most this fraction per period BEFORE the irreversibility threshold. Past it, the escalation is governed elsewhere.",EOH generation — ecological domain,,,"an infrastructure deferred-maintenance panel — FHWA NBI again, or a utility asset register. FIELD: the growth in estimated restoration cost for assets left unmaintained, per year, before functional failure.",,,,,,"migrated from core/eoh_dynamics.py 2026-08-28 as a shadow constant. THIS IS EOH COMPOUNDING, WHICH IS PHYSICS AND NOT INTEREST — Condition III forbids balances growing passively, and this does not create TEH. Deferring work makes more work; that is entropy, not a rate of return."
REGEN_AUTOMATION_LEVERAGE_MAX,0.3,dimensionless leverage per ε unit,placeholder,,regenerative labour is amplified by automation — leverage = 1 + MAX × ε so at ε=1 a regenerative hour does this much more than at subsistence.,EOH generation — ecological domain,,,"restoration-project outcomes with and without machine assistance. FIELD: hectares restored per labour-hour by equipment level, which is the same instrument reference/restoration.py already uses for ASAE field capacity — so this is reachable from data the repo can already read.",,,,,,"migrated from core/eoh_dynamics.py 2026-08-28 as a shadow constant. It makes the same SHAPE of claim as MATURATION_AUTO_LEVERAGE (0.30, and the identical value) — automation amplifies a human activity's return — but for a different activity, and neither is bound to the other. Whether they are one quantity or two is unresolved; they are at least not independent evidence for each other."
KNOWLEDGE_EOH_BASE,523614562.876,"embodied knowledge-hours (STOCK) at the ε=0 reference, at KNOWLEDGE_REFERENCE_POPULATION",derived-then-FROZEN,,"recovered from the O*NET 30.3 / BLS spine already shipped in reference/data/ by inverting the documented log-minmax normalization of f_training: 11,001.3 h/worker embodied training stock over 751 occupations → 5,501.0 h/person at E/P = 0.500 → de-anchored to ε=0 by ÷ kbs(ε*)·cpu(ε*). Anchor and base are solved TOGETHER at the fixed point ε* = 0.3828 (scenarios/knowledge_base.epsilon_ref_fixed_point, 6 damped iterations), because a one-shot anchor cannot be self-consistent when the constant it sets sits inside the quantity that checks it. FROZEN against data-vintage churn; it FOLLOWS internal drift, because a change to any constant inside total_eoh changes the derivation's own inputs. Re-anchored 2026-08-09 (Finding E, ε* 0.4522), 2026-08-10 (the AGE_GROUPS elderly revalue, ε* 0.3828), 2026-08-16 (SKILL_WORKING_LIFE_YEARS measured at 37.5, ε* 0.38689) and 2026-08-17 (the Phase-4b frame resolution, ε* 0.386619). THE THIRD RE-ANCHOR IS THE CHEAPEST AND THE MOST REASSURING: a 6.7% rise in the renewal rate moved this constant by −2.0%, because the fixed point absorbs most of it. The coupling is real and it is damped, which is the property a one-shot anchor could not demonstrate. THE FOURTH IS SMALLER STILL — +0.13% — and it says something about the model rather than about this constant: the ecological domain was corrected DOWNWARD by 464× and the knowledge base barely moved, because ecological is so small a share of total_eoh that even a 464× error in it is nearly invisible to everything downstream. That is the domain-balance defect restated as a sensitivity, and it converged in ONE iteration. THE FIFTH IS THE SMALLEST OF ALL — +0.00047%, 2026-08-28, when Phase 4f relocated the whole STANDING ecological obligation to GUF. Removing an entire domain term moved this constant in its seventh significant figure, and it converged in one iteration again. Read the two together: the fourth re-anchor said a 464× error in the ecological domain was nearly invisible downstream; the fifth says deleting the domain's recurring term outright is nearly invisible too. Both are the same sensitivity finding, and after 4f it is no longer a defect — it is the partition, which puts that obligation in GUF where it scales with land held rather than with the ledger.",EOH generation — knowledge domain,,,an O*NET/BLS vintage refresh moves it mechanically; the ANCHOR resolves by whatever settles Finding B. The capital-inventory route is unusable (Finding A).,,,,,,"THE ANCHORING ASSUMPTION IS THE UNCERTAINTY, NOT THE MEASUREMENT. Across ε_ref ∈ [0.2, 0.6] the constant moves 7.13×, against only 1.20× from the per-capita route. What the fixed point does NOT fix: the anchor is still 937.3 h/person·yr of US PAID labour, so it removes the self-inconsistency, not the US-specificity or the paid-labour convention — and the full-labour reading has no solution at all (supply exceeds the whole obligation; Finding B). tests/test_knowledge_base.py asserts the frozen value still matches the live derivation, so a registry refresh fails loudly rather than drifting."
KNOWLEDGE_EPS_EXPONENT,2.0,dimensionless exponent,placeholder,,"physics — knowledge EOH grows superlinearly with ε, because complexity compounds. The exponent is asserted.",EOH generation — knowledge domain,,,"measured knowledge-maintenance hours against an automation index at three or more points, which is what distinguishes an exponent from a slope.",,,,,,
KNOWLEDGE_REFERENCE_POPULATION,1000000.0,persons,convention,,"a stated denominator, not a claim about the world — the population KNOWLEDGE_EOH_BASE is quoted at. It exists because knowledge EOH was population-INVARIANT: the same absolute number came back at 1M and at 300M, so the domain's share of total EOH fell as 1/population while every other domain scaled. 1e6 is the repo-wide default population, so this reproduces prior output exactly at the default.",EOH generation — knowledge domain,,,"n/a — a convention is settled by declaring it, which this does.",,,,,,
SKILL_DECAY_RATE,0.1,fraction of the knowledge stock renewed per year,placeholder,,"DEPRECATED as of Block K-IV — retained, not deleted, per the additive-not-destructive rule. Nothing defaults to it; the default renewal rate is SKILL_TRANSMISSION_RATE. Kept because it is the value every pre-K-IV result in this repo was produced at, so reproducing an old figure means passing it explicitly rather than guessing what it was.",EOH generation — knowledge domain,,,"nothing. It is not awaiting a measurement; the measurement happened and replaced it. The split that did so is SKILL_TRANSMISSION_RATE (cohort turnover, now measured) and SKILL_CPD_RATE (Eurostat CVTS paid training hours), whose sum is 0.0294 against this 0.10. That gap is a finding, not an error to reconcile away. 2026-08-15: THE LAST COMPUTING PATH WENT. core/eoh_fulfillment .eoh_to_teh_pipeline was passing a bare 0.10 literal — an unbound COPY of this value, not a read of it — straight into total_eoh(), overriding the SKILL_TRANSMISSION_RATE default that knowledge_eoh() had already adopted. The pipeline was computing knowledge EOH 4× the direct path. 2026-08-16: RETIRED, and the gate had to learn a distinction first. The last PARAMETER DEFAULT was `decay=` on knowledge_base_from_registry, which set the reported arc level under the refuted doctrine; it now points at SKILL_TRANSMISSION_RATE. What remains is four reads in two modules, all of the same shape — this value printed BESIDE the split so the disagreement stays visible. That is a documented negative result, not a second parameter running in parallel, and the old gate could not tell the two apart because it asked ""is it mentioned?"". `baseline_in:` states the claim, and `problems()` checks it: every reader named, and — the condition that cannot be waived — no parameter default anywhere, verified by AST rather than by regex. Retiring it this way keeps the credibility finding on the CLI (`scenario run knowledge_base`) instead of exiling it to research/ to make a counter go down.",,,,,SKILL_TRANSMISSION_RATE + SKILL_CPD_RATE,"IT WAS NEVER A RENEWAL RATE. At 0.10 against the measured 11,001 h/worker stock it implies 1,100 h/worker·yr — 55% of the H_REF work-year spent forever re-acquiring knowledge already held. No time-use or training series reports anything close. It was also CONFLATING two rates that Block K-III separates: transmission (cohort turnover) and CPD (staying current while working)."
SKILL_WORKING_LIFE_YEARS,37.5,"years, entry to retirement",measured,B,"Eurostat `lfsi_dwl_a`, ""duration of working life"" — the average number of years a person aged 15 is expected to remain in the labour force (employed or unemployed), computed from life expectancy and age-specific participation rates. That IS the cohort-exit construction this constant needs, published annually. EU 2025: 37.5 years overall, 39.5 men, 35.4 women. The EU aggregate is adopted rather than either sex-specific figure.",EOH generation — knowledge domain,,,a US duration-of-working-life series on the Eurostat construction — age-specific participation rates against a current life table. CPS and NCHS both publish the inputs; nobody publishes the product.,,,,,,"TIER B, NOT A, FOR A NAMED REASON: the series is EU-27, while the knowledge domain's ε_ref anchor is US paid labour (937.3 h/person·yr). No current US equivalent exists to reconcile it against — BLS ceased publishing worklife tables, and the last (Smith 1986) rests on 1979–80 labour-force behaviour, which is older than the gap it would close. The jurisdiction mismatch is therefore unavoidable rather than a shortcut, and it is the whole of the Tier B reservation. Direction is not withheld: EU participation among older workers runs below the US, so 37.5 is more likely an UNDERSTATEMENT of a US working life, which makes transmission an OVERSTATEMENT — the conservative side, since it raises the renewal obligation rather than flattering it."
SKILL_TRANSMISSION_RATE,0.0266666666667,fraction of the knowledge stock renewed per year,derived,,"1 / SKILL_WORKING_LIFE_YEARS = 0.02667. Transmission is the stock being re-created as cohorts retire — knowledge dies with people, which is the entropy this domain measures (framing accepted by the author 2026-08-08). Adopted as the default renewal rate in Block K-IV because it is the LOWER of the two credible doctrines and the only one containing no CHOSEN component.",EOH generation — knowledge domain,,,"n/a — it inherits SKILL_WORKING_LIFE_YEARS's standing, which is now a measurement rather than a choice.",,,,,,"THE FIRST ANCHORED DERIVATION IN THE FILE. Until 2026-08-16 this was `derived` from a `placeholder`, which the chain audit found by tracing the graph rather than reading one level — and it mattered more than the tag suggested, because the working life has ZERO direct consumers in core/land/scenarios and reached 14 call sites only through this constant. Every blast-radius scan that looks at code read it as inert. Now that the parent is measured, `band_from` can be claimed and the transitive gate (utils/provenance.unanchored_ancestors) verifies it."
SKILL_CPD_RATE,0.0027,fraction of stock renewed per year by continuing practice,bounded,,"the recurring hours a WORKING practitioner spends staying current — the term O*NET structurally cannot supply, because it measures the hours to REACH competency, never the hours to HOLD it. ~30 h/worker·yr economy-wide against an 11,001 h stock gives 0.0027, from the licensure scale (US state boards mandate 20–50 h per two-year cycle for licensed occupations, ~a quarter of employment) and Eurostat CVTS (~25 h per participating employee·yr at ~40% participation).",EOH generation — knowledge domain,"≈10–30 h/worker·yr economy-wide — US state boards mandate 20–50 h per two-year cycle for licensed occupations (~a quarter of employment), and Eurostat CVTS reports ~25 h per participating employee·yr at ~40% participation. Against the measured 11,001 h/worker stock that is ≈0.0009–0.0027.","LOW. At the top of that band, and then EXCLUDED from the shipped default anyway, so the adopted renewal rate understates the obligation by ~10.8% deliberately — the same posture the thermal layer takes when it withholds a budget whose sign is undetermined: prefer a defensible understatement to an unbacked completion.","Eurostat CVTS (paid training hours per employee, all sectors), the single public series that measures this term directly.",,,,,,"THE LEAST-GROUNDED NUMBER IN BLOCK K-III, and EXCLUDED FROM THE DEFAULT — not denied. skill_renewal_rate() still returns the sum and a caller who wants the fuller obligation passes it. The adopted default therefore UNDERSTATES renewal by ~10.8%, deliberately, so no CHOSEN number rides in the shipped arc — the same posture the thermal layer takes when it withholds a budget whose sign is undetermined."
H_REF,2000,hours/year per worker,convention,,"a stated normalizer — 50 weeks × 40 h. Used to convert workforce-hours to TEH, not a claim about how long anyone works.",Reference and workforce,,,"n/a as a convention. If it were read as a measurement of actual hours worked it would be wrong in most jurisdictions (OECD average annual hours run ~1,400–2,200), which is precisely why it is tagged as the denominator it is.",,,,,,
